glottocode	SAHUL001	SAHUL002	SAHUL003	SAHUL004	SAHUL005	SAHUL006	SAHUL007	SAHUL008	SAHUL009	SAHUL010	SAHUL011	SAHUL012	SAHUL013	SAHUL014	SAHUL015	SAHUL016	SAHUL017	SAHUL018	SAHUL019	SAHUL020
siro1249	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
sisi1250	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	NA	NA	0	1
siwa1245	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
sout2856	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1
sout2918	1	NA	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0
sout2949	0	0	1	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0
suab1238	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
sude1239	NA	NA	1	1	1	1	1	NA	NA	0	1	NA	0	NA	NA	NA	1	NA	NA	0
suen1241	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0
sulk1246	1	0	1	0	1	0	1	0	0	1	1	0	1	0	1	0	1	1	0	1
surs1246	NA	NA	1	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0
taga1270	1	0	1	0	1	NA	1	0	0	0	1	0	1	1	1	0	1	0	0	1
tain1253	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
taki1248	1	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0
tauy1241	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
tawa1275	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1
tean1237	1	0	1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0
tele1256	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0
tere1278	NA	NA	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	1	NA	NA	0
tetu1245	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1
thay1249	1	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0
tido1248	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0
tiga1245	NA	NA	1	0	1	0	1	NA	NA	0	0	NA	1	NA	NA	NA	1	NA	NA	1
tiwi1244	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0
tobe1252	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1
touo1238	NA	NA	1	1	0	1	1	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	1
tung1290	NA	NA	1	0	1	0	1	NA	NA	0	1	NA	NA	NA	NA	NA	1	NA	NA	0
ulit1238	0	NA	1	0	1	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0
uman1240	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
unaa1239	1	0	1	0	0	0	1	1	0	0	0	0	1	NA	0	1	1	0	0	0
unea1237	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	NA
usan1239	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0
wamb1259	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
warl1256	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	0	0
wask1241	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	NA
west2599	0	0	1	1	1	0	1	0	0	0	0	1	1	NA	NA	1	0	0	0	0
wuvu1239	NA	NA	1	0	NA	1	1	NA	NA	0	0	NA	0	NA	NA	NA	0	NA	NA	1
xara1244	1	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1
yabe1254	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0
yany1243	1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0
yape1248	0	NA	1	0	1	1	0	0	1	0	1	0	0	1	1	0	1	1	0	1
yele1255	1	0	1	1	0	1	0	0	0	0	1	NA	0	1	1	0	0	1	0	0
yess1239	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	NA	0
yima1243	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0
